bundesland,diesel,e5,e10,date
Nordrhein-Westfalen,2.150174407557208,2.0872653709384075,1.994130378131871,2022-03-18 00:00:00
Rheinland-Pfalz,2.144007911392405,2.094439398734177,2.0131981803797467,2022-03-18 00:00:00
Saarland,2.143856932153392,2.102732743362832,1.996066371681416,2022-03-18 00:00:00
Sachsen,2.152076868879025,2.089483900514338,1.9788266751215389,2022-03-18 00:00:00
Sachsen-Anhalt,2.146621556307395,2.060194200096665,1.9082910584823587,2022-03-18 00:00:00
Schleswig-Holstein,2.166298440703237,2.094829968317078,1.9208694787848668,2022-03-18 00:00:00
Thüringen,2.188405926809865,2.096418754972156,1.9252631264916469,2022-03-18 00:00:00
bundesweit,2.163213189607484,2.0961372261970617,1.977411779447855,2022-03-18 00:00:00
Baden-Württemberg,2.172917916791679,2.127088308830883,2.038899314931493,2022-03-19 00:00:00
Bayern,2.1848503244810606,2.125466585354628,1.996217908592995,2022-03-19 00:00:00
Berlin,2.1613947939262474,2.1331966738973245,2.064350686912509,2022-03-19 00:00:00
Brandenburg,2.1561183622570925,2.093937129793204,1.9978486958329005,2022-03-19 00:00:00
Bremen,2.157068181818182,2.143488636363636,2.0561201923076924,2022-03-19 00:00:00
Hamburg,2.1295110182370824,2.1294198328267475,2.0427232142857146,2022-03-19 00:00:00
Hessen,2.155881583121827,2.124737071700508,2.0175649984137056,2022-03-19 00:00:00
Mecklenburg-Vorpommern,2.1360224172696003,2.020200332107698,1.9148016842604676,2022-03-19 00:00:00
Niedersachsen,2.1508271958229788,2.083132615407787,1.916228430855737,2022-03-19 00:00:00
Nordrhein-Westfalen,2.149496165984019,2.0985664808970657,2.005976821325455,2022-03-19 00:00:00
Rheinland-Pfalz,2.15458224291563,2.1107566027133338,2.0306617965802363,2022-03-19 00:00:00
Saarland,2.152862433862434,2.1317013521457966,2.020968253968254,2022-03-19 00:00:00
Sachsen,2.157808151382824,2.106964483260553,1.9992660844250365,2022-03-19 00:00:00
Sachsen-Anhalt,2.155422671178344,2.078596835191082,1.9263537022292996,2022-03-19 00:00:00
Schleswig-Holstein,2.157335562191639,2.077660997143599,1.910349649441704,2022-03-19 00:00:00
Thüringen,2.181652045238347,2.116416657858577,1.950062995455026,2022-03-19 00:00:00
bundesweit,2.159823663534028,2.105323905266014,1.9898682888182584,2022-03-19 00:00:00
Baden-Württemberg,2.1731990427238856,2.127889042995839,2.039917598107204,2022-03-20 00:00:00
Bayern,2.1884288086551766,2.1293451251729776,2.0010107686501444,2022-03-20 00:00:00
Berlin,2.161651242994683,2.1285056761028884,2.058323897111654,2022-03-20 00:00:00
Brandenburg,2.1601487459105777,2.1014784078516904,2.0052164667393675,2022-03-20 00:00:00
Bremen,2.161906429691584,2.152742812336644,2.074064296915839,2022-03-20 00:00:00
Hamburg,2.135159434914228,2.1294460141271445,2.041865186680121,2022-03-20 00:00:00
Hessen,2.154219872793901,2.1224963143928224,2.009119371551325,2022-03-20 00:00:00
Mecklenburg-Vorpommern,2.1341651592119937,2.03545062569694,1.933882914137034,2022-03-20 00:00:00
Niedersachsen,2.15092109475032,2.088266191848058,1.9153615023474175,2022-03-20 00:00:00
Nordrhein-Westfalen,2.144530022566705,2.0967902623932506,2.0024437233587515,2022-03-20 00:00:00
Rheinland-Pfalz,2.151988464187328,2.1063495179063363,2.025901342975206,2022-03-20 00:00:00
Saarland,2.150078125,2.118196875,2.0114640625,2022-03-20 00:00:00
Sachsen,2.1676343813008736,2.1095485774027334,1.998899484728549,2022-03-20 00:00:00
Sachsen-Anhalt,2.1543630707476167,2.076955845459107,1.9292740592072253,2022-03-20 00:00:00
Schleswig-Holstein,2.1553100958200253,2.081003749479239,1.9150610331898343,2022-03-20 00:00:00
Thüringen,2.186526676568034,2.117315663201188,1.95295647206672,2022-03-20 00:00:00
bundesweit,2.159536326511469,2.1063375131071598,1.989531328203256,2022-03-20 00:00:00
Baden-Württemberg,2.186273233562316,2.124960525024534,2.0340743621197253,2022-03-21 00:00:00
